No.,Time,Source,Destination,Protocol,Length,Info,Len
57,0.250913,172.28.0.10,172.28.0.20,TCP,66,5000  >  55206 [ACK] Seq=1 Ack=59474 Win=97280 Len=0 TSval=3899495047 TSecr=1939598310,0
58,0.250917,172.28.0.20,172.28.0.10,TCP,2962,"55206  >  5000 [PSH, ACK] Seq=59474 Ack=1 Win=64512 Len=2896 TSval=1939598310 TSecr=3899494997",2896
59,0.250922,172.28.0.20,172.28.0.10,TCP,2962,"55206  >  5000 [PSH, ACK] Seq=62370 Ack=1 Win=64512 Len=2896 TSval=1939598310 TSecr=3899494997",2896
60,0.251016,172.28.0.10,172.28.0.20,TCP,66,5000  >  55206 [ACK] Seq=1 Ack=65266 Win=97280 Len=0 TSval=3899495047 TSecr=1939598310,0
61,0.266455,172.28.0.20,172.28.0.10,TCP,1514,55206  >  5000 [ACK] Seq=65266 Ack=1 Win=64512 Len=1448 TSval=1939598326 TSecr=3899495013,1448
62,0.300985,172.28.0.20,172.28.0.10,TCP,1514,[TCP Previous segment not captured] 55206  >  5000 [ACK] Seq=68162 Ack=1 Win=64512 Len=1448 TSval=1939598360 TSecr=3899495047,1448
63,0.301016,172.28.0.10,172.28.0.20,TCP,78,5000  >  55206 [ACK] Seq=1 Ack=66714 Win=97280 Len=0 TSval=3899495097 TSecr=1939598326 SLE=68162 SRE=69610,0
64,0.301055,172.28.0.20,172.28.0.10,TCP,2962,"55206  >  5000 [PSH, ACK] Seq=69610 Ack=1 Win=64512 Len=2896 TSval=1939598360 TSecr=3899495047",2896
65,0.301061,172.28.0.10,172.28.0.20,TCP,78,[TCP Dup ACK 63#1] 5000  >  55206 [ACK] Seq=1 Ack=66714 Win=97280 Len=0 TSval=3899495097 TSecr=1939598326 SLE=68162 SRE=72506,0
66,0.301062,172.28.0.20,172.28.0.10,TCP,2962,"55206  >  5000 [PSH, ACK] Seq=72506 Ack=1 Win=64512 Len=2896 TSval=1939598360 TSecr=3899495047",2896
67,0.301066,172.28.0.10,172.28.0.20,TCP,78,[TCP Dup ACK 63#2] 5000  >  55206 [ACK] Seq=1 Ack=66714 Win=97280 Len=0 TSval=3899495097 TSecr=1939598326 SLE=68162 SRE=75402,0
